epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1022,3.14571,3.99693,3.85976,0.52459,0.06754,0.01165,0.00402,3.0007,4.44411,3.90232,0.000331439,0.000331439,0.000331439
2,47.55,2.44243,3.42877,3.00535,0.63428,0.13155,0.10063,0.04648,2.72945,3.86439,3.50988,0.000660385,0.000660385,0.000660385
3,69.8377,2.25873,3.23219,2.69652,0.61765,0.17946,0.113,0.05578,2.36138,3.65275,2.92827,0.000984931,0.000984931,0.000984931
4,92.1466,2.13375,3.1043,2.56177,0.34128,0.22551,0.17731,0.10496,2.19194,3.52146,2.75593,0.0009802,0.0009802,0.0009802
5,114.17,2.05302,2.98887,2.44958,0.89432,0.18282,0.24618,0.14561,2.09969,3.1975,2.57069,0.0009736,0.0009736,0.0009736
6,135.87,2.00446,2.8939,2.37716,0.87154,0.20591,0.23751,0.15032,2.12618,3.09643,2.58761,0.000967,0.000967,0.000967
7,158.051,1.92736,2.7771,2.30112,0.43561,0.26133,0.26521,0.1736,2.08063,2.97527,2.51637,0.0009604,0.0009604,0.0009604
8,180.133,1.89515,2.74401,2.26895,0.52975,0.27044,0.30407,0.21087,1.91443,2.79205,2.34871,0.0009538,0.0009538,0.0009538
9,202.796,1.84258,2.67941,2.21108,0.47655,0.34618,0.3056,0.20132,1.88275,2.7288,2.26622,0.0009472,0.0009472,0.0009472
10,224.731,1.81219,2.59277,2.17876,0.53133,0.34476,0.34972,0.23326,1.84689,2.67669,2.2368,0.0009406,0.0009406,0.0009406
11,247.112,1.76768,2.53712,2.12818,0.48755,0.30097,0.29859,0.19935,2.09961,2.97867,2.40858,0.000934,0.000934,0.000934
12,268.841,1.75171,2.47912,2.09984,0.62667,0.33266,0.35949,0.26043,1.84565,2.61034,2.22454,0.0009274,0.0009274,0.0009274
13,291.092,1.70189,2.42409,2.06885,0.574,0.37569,0.37292,0.26313,1.76931,2.61756,2.13697,0.0009208,0.0009208,0.0009208
14,313.287,1.67841,2.38467,2.04969,0.56932,0.39396,0.39515,0.27044,1.79185,2.40305,2.16024,0.0009142,0.0009142,0.0009142
15,335.589,1.66147,2.3192,2.00505,0.57208,0.43427,0.4072,0.28194,1.79421,2.46676,2.1522,0.0009076,0.0009076,0.0009076
16,357.779,1.65627,2.3127,1.99461,0.56162,0.41577,0.39951,0.29,1.73573,2.44657,2.07874,0.000901,0.000901,0.000901
17,380.245,1.63334,2.28032,1.98347,0.65566,0.3829,0.39486,0.29585,1.7677,2.49246,2.09828,0.0008944,0.0008944,0.0008944
18,402.194,1.62983,2.25749,1.97969,0.71439,0.3712,0.44047,0.32613,1.65897,2.30198,2.03895,0.0008878,0.0008878,0.0008878
19,424.185,1.5836,2.18593,1.93894,0.48968,0.46793,0.44999,0.32206,1.66892,2.27676,2.02302,0.0008812,0.0008812,0.0008812
20,446.478,1.58412,2.17329,1.93107,0.43322,0.46723,0.44963,0.33326,1.63143,2.38206,1.97077,0.0008746,0.0008746,0.0008746
21,468.495,1.59216,2.21128,1.9342,0.61381,0.41004,0.45595,0.33381,1.73471,2.35539,2.06851,0.000868,0.000868,0.000868
22,491.382,1.54828,2.12483,1.89152,0.41881,0.44107,0.44264,0.32923,1.68601,2.27818,2.03186,0.0008614,0.0008614,0.0008614
23,513.103,1.52704,2.10808,1.87388,0.55909,0.42546,0.44493,0.33649,1.69903,2.38681,2.02957,0.0008548,0.0008548,0.0008548
24,535.368,1.54563,2.08629,1.88336,0.47548,0.48229,0.46869,0.34672,1.62948,2.26386,1.9401,0.0008482,0.0008482,0.0008482
25,557.439,1.50932,2.05121,1.85424,0.62059,0.47474,0.48725,0.36986,1.59553,2.13463,1.94969,0.0008416,0.0008416,0.0008416
26,579.426,1.51278,2.03723,1.85183,0.56485,0.43487,0.46373,0.34349,1.63288,2.2477,1.95884,0.000835,0.000835,0.000835
27,601.039,1.46846,2.00449,1.82262,0.46332,0.51449,0.50661,0.39304,1.52477,2.09858,1.86435,0.0008284,0.0008284,0.0008284
28,623.246,1.48173,1.9774,1.81747,0.52873,0.46297,0.49446,0.379,1.55306,2.12842,1.88525,0.0008218,0.0008218,0.0008218
29,644.802,1.48851,1.98027,1.81526,0.5631,0.49992,0.50775,0.38197,1.57831,2.14142,1.91224,0.0008152,0.0008152,0.0008152
30,666.466,1.4621,1.93982,1.79895,0.58328,0.48586,0.51348,0.3821,1.51039,2.00792,1.83852,0.0008086,0.0008086,0.0008086
31,688.452,1.4375,1.92603,1.78221,0.44682,0.4722,0.46333,0.3507,1.574,2.13969,1.92706,0.000802,0.000802,0.000802
32,710.23,1.44115,1.90989,1.77343,0.66579,0.52471,0.5381,0.40436,1.50057,1.94492,1.8421,0.0007954,0.0007954,0.0007954
33,732.437,1.43628,1.88102,1.77728,0.50499,0.50654,0.50968,0.38721,1.53117,2.06394,1.85799,0.0007888,0.0007888,0.0007888
34,754.042,1.41864,1.8661,1.75047,0.53715,0.48415,0.50922,0.39346,1.55564,2.14154,1.89126,0.0007822,0.0007822,0.0007822
35,775.906,1.37969,1.83511,1.73066,0.56202,0.52435,0.51375,0.38781,1.51614,2.01465,1.83274,0.0007756,0.0007756,0.0007756
36,798.025,1.37698,1.79829,1.71769,0.67548,0.51965,0.52549,0.41083,1.48776,1.9335,1.81109,0.000769,0.000769,0.000769
