epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.044,3.34458,4.10807,3.96691,0.85576,0.05185,0.04161,0.0114,3.02673,5.41841,3.61843,0.000331439,0.000331439,0.000331439
2,49.2471,2.70934,3.56099,3.17603,0.63596,0.19298,0.12574,0.0418,2.55477,3.79243,3.17024,0.000660385,0.000660385,0.000660385
3,72.1219,2.38326,3.33446,2.80802,0.78609,0.16292,0.1521,0.07384,2.35507,4.55442,2.87801,0.000984931,0.000984931,0.000984931
4,94.4879,2.19894,3.15941,2.60671,0.72928,0.19293,0.17735,0.08483,2.2298,3.12962,2.72844,0.0009802,0.0009802,0.0009802
5,117.431,2.09269,3.02771,2.48333,0.90501,0.17541,0.23177,0.11596,2.15419,3.49127,2.59745,0.0009736,0.0009736,0.0009736
6,139.942,2.0469,2.89971,2.40064,0.90339,0.1338,0.22719,0.13131,2.16264,3.61486,2.64041,0.000967,0.000967,0.000967
7,162.161,1.9951,2.83304,2.34244,0.52046,0.34287,0.33055,0.20701,2.0832,2.71916,2.46075,0.0009604,0.0009604,0.0009604
8,184.748,1.96496,2.78188,2.3091,0.51995,0.35772,0.34735,0.23607,1.96012,2.79416,2.30887,0.0009538,0.0009538,0.0009538
9,207.271,1.88565,2.64068,2.23034,0.54042,0.3687,0.37029,0.25085,1.94101,2.65456,2.32387,0.0009472,0.0009472,0.0009472
10,229.622,1.87887,2.61298,2.2206,0.55339,0.38039,0.37085,0.25845,1.90665,2.6545,2.31241,0.0009406,0.0009406,0.0009406
11,252.145,1.84325,2.56692,2.17667,0.64625,0.38741,0.38197,0.26259,1.88973,2.57318,2.21006,0.000934,0.000934,0.000934
12,275.147,1.81174,2.49097,2.14116,0.66813,0.39544,0.40218,0.27257,1.86789,2.50167,2.18698,0.0009274,0.0009274,0.0009274
13,297.487,1.77773,2.43588,2.12161,0.56882,0.42484,0.41809,0.29285,1.79299,2.41402,2.15977,0.0009208,0.0009208,0.0009208
14,319.622,1.77929,2.4163,2.1046,0.62148,0.38931,0.39466,0.25985,1.86947,2.44706,2.19199,0.0009142,0.0009142,0.0009142
15,341.686,1.74807,2.35954,2.06477,0.59255,0.42877,0.42184,0.29899,1.82326,2.38719,2.18173,0.0009076,0.0009076,0.0009076
16,364.225,1.73708,2.34911,2.05561,0.57076,0.41277,0.41222,0.29443,1.77812,2.44643,2.12488,0.000901,0.000901,0.000901
17,387.045,1.71887,2.31267,2.03606,0.67419,0.42735,0.44238,0.31282,1.74367,2.33891,2.05507,0.0008944,0.0008944,0.0008944
18,409.547,1.69791,2.27351,2.0089,0.58111,0.46298,0.45455,0.32597,1.72458,2.24246,2.06528,0.0008878,0.0008878,0.0008878
19,431.882,1.67059,2.2204,1.99332,0.63219,0.45695,0.45293,0.31988,1.74792,2.24266,2.07348,0.0008812,0.0008812,0.0008812
20,454.306,1.6615,2.22187,1.99049,0.47506,0.47665,0.4779,0.35423,1.65969,2.18366,2.01295,0.0008746,0.0008746,0.0008746
21,476.414,1.64853,2.19787,1.97514,0.68185,0.4768,0.48909,0.35897,1.67983,2.14347,2.01515,0.000868,0.000868,0.000868
22,498.504,1.63904,2.16168,1.95516,0.50681,0.49877,0.49485,0.36027,1.66016,2.14805,1.98059,0.0008614,0.0008614,0.0008614
23,520.431,1.5998,2.12465,1.92373,0.67527,0.45827,0.48315,0.35174,1.65978,2.12228,1.97576,0.0008548,0.0008548,0.0008548
24,542.372,1.60082,2.08367,1.91547,0.56388,0.50532,0.4968,0.37428,1.61488,2.08826,1.9344,0.0008482,0.0008482,0.0008482
25,564.877,1.56536,2.05508,1.89223,0.63604,0.46139,0.48083,0.36435,1.63598,2.16322,1.98262,0.0008416,0.0008416,0.0008416
26,587.289,1.55481,2.01646,1.87129,0.55958,0.47534,0.49511,0.3649,1.60712,2.06825,1.92653,0.000835,0.000835,0.000835
27,609.709,1.50898,1.97747,1.84538,0.5377,0.51663,0.52321,0.39327,1.58199,2.01079,1.89687,0.0008284,0.0008284,0.0008284
28,632.01,1.53166,1.97605,1.84569,0.50277,0.49437,0.4916,0.36096,1.60496,2.1363,1.92231,0.0008218,0.0008218,0.0008218
29,654.218,1.524,1.94704,1.83505,0.57134,0.50859,0.52179,0.38743,1.60454,2.02141,1.92138,0.0008152,0.0008152,0.0008152
30,676.525,1.50899,1.92673,1.82876,0.59451,0.51609,0.51387,0.37676,1.62161,2.03952,1.92737,0.0008086,0.0008086,0.0008086
31,698.933,1.4907,1.91851,1.81682,0.55253,0.52364,0.53392,0.40732,1.53801,1.96302,1.8454,0.000802,0.000802,0.000802
32,721.42,1.473,1.88563,1.78616,0.55013,0.52251,0.54263,0.41502,1.55697,1.92363,1.86024,0.0007954,0.0007954,0.0007954
33,743.631,1.47006,1.85211,1.7953,0.60096,0.50516,0.52387,0.39966,1.53218,1.98114,1.86201,0.0007888,0.0007888,0.0007888
34,765.981,1.45729,1.84234,1.77525,0.629,0.53504,0.54867,0.41632,1.53199,1.9012,1.86155,0.0007822,0.0007822,0.0007822
35,788.155,1.41778,1.81928,1.75249,0.65782,0.52401,0.55896,0.42617,1.52617,1.85358,1.82508,0.0007756,0.0007756,0.0007756
36,810.607,1.41772,1.78043,1.73994,0.67011,0.53916,0.53818,0.40995,1.54557,1.92038,1.85503,0.000769,0.000769,0.000769
37,832.587,1.40118,1.74904,1.72698,0.56502,0.53132,0.55427,0.41754,1.53114,1.89027,1.853,0.0007624,0.0007624,0.0007624
