epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2014,3.38471,4.35668,4.1011,0.00123,0.28215,0.00335,0.00078,3.16762,4.4996,3.79023,0.000331439,0.000331439,0.000331439
2,76.6035,2.92967,3.93707,3.37231,0.69028,0.0642,0.02903,0.00911,2.80944,6.84099,3.27998,0.000660385,0.000660385,0.000660385
3,100.839,2.54558,3.67785,2.85814,0.23906,0.19028,0.07656,0.0337,2.43836,7.43034,2.88322,0.000984931,0.000984931,0.000984931
4,124.521,2.29252,3.41402,2.58506,0.6524,0.20968,0.17063,0.07968,2.30688,3.60616,2.68499,0.0009802,0.0009802,0.0009802
5,148.286,2.13456,3.19769,2.42136,0.83643,0.20366,0.22252,0.1298,2.14568,3.55119,2.49557,0.0009736,0.0009736,0.0009736
6,171.676,2.06657,3.06044,2.33454,0.67571,0.19299,0.22355,0.13651,2.09749,3.14324,2.4318,0.000967,0.000967,0.000967
7,195.167,2.00206,2.94929,2.25432,0.743,0.245,0.26252,0.1785,2.03489,2.94005,2.32937,0.0009604,0.0009604,0.0009604
8,218.824,1.94256,2.88798,2.19972,0.69739,0.23722,0.28746,0.19113,1.9981,2.85527,2.27962,0.0009538,0.0009538,0.0009538
9,242.51,1.91065,2.79588,2.14444,0.8963,0.2279,0.304,0.20454,1.93443,2.90404,2.22381,0.0009472,0.0009472,0.0009472
10,266.095,1.87444,2.73675,2.12036,0.89856,0.24978,0.34189,0.23296,1.88505,2.67323,2.17858,0.0009406,0.0009406,0.0009406
11,289.61,1.82049,2.6697,2.07642,0.42339,0.34958,0.32666,0.2263,1.89605,2.70038,2.17249,0.000934,0.000934,0.000934
12,313.075,1.79836,2.58917,2.04652,0.53115,0.38306,0.35943,0.24,1.80785,2.59701,2.07289,0.0009274,0.0009274,0.0009274
13,336.452,1.75661,2.5321,2.00532,0.6507,0.3702,0.38819,0.26934,1.78034,2.49358,2.03544,0.0009208,0.0009208,0.0009208
14,359.788,1.76138,2.48848,1.99273,0.34109,0.42048,0.38582,0.27226,1.80298,2.45777,2.04257,0.0009142,0.0009142,0.0009142
15,383.324,1.72501,2.43133,1.9627,0.59773,0.41358,0.40962,0.29243,1.75436,2.39764,1.98961,0.0009076,0.0009076,0.0009076
